University,intCol2018,intCol2017,intCol2016,acaCol2018,acaCol2017,acaCol2016,pub2018,pub2017,pub2016,cit2018,cit2017,cit2016,fwCitImp2018,fwCitImp2017,fwCitImp2016,pubTCP2018,pubTCP2017,pubTCP2016,pubTJP2018,pubTJP2017,pubTJP2016,citPP2018,citPP2017,citPP2016,authors2018,authors2017,authors2016,citPA2018,citPA2017,citPA2016,pubPA2018,pubPA2017,pubPA2016,h5Index,class
"Fudan University",30.6,30.3,30.2,2.7,2.8,2.8,9719.0,9091.0,8477.0,37085.0,76060.0,108152.0,1.36,1.46,1.49,18.7,20.4,20.4,36.0,38.0,38.3,3.8,8.4,12.8,15681.0,14831.0,13524.0,2.3649639691346214,5.128447171465174,7.997042295178941,0.6197946559530643,0.612972827186299,0.6268115942028986,141.0,1
"Korea Advanced Institute of Science and Technology",28.3,27.9,25.5,6.7,6.5,8.0,4107.0,3993.0,4046.0,13096.0,29122.0,43397.0,1.2,1.35,1.31,16.7,18.5,18.4,47.3,47.3,46.3,3.2,7.3,10.7,4649.0,4630.0,4565.0,2.8169498816949883,6.289848812095032,9.506462212486309,0.8834157883415789,0.8624190064794817,0.8863088718510406,107.0,1
"University of Sydney",52.2,51.3,50.0,3.0,3.1,2.6,11210.0,10793.0,10255.0,48436.0,103587.0,155266.0,1.97,2.09,2.1,19.5,20.4,21.0,36.9,39.3,38.0,4.3,9.6,15.1,8836.0,8655.0,8376.0,5.481665912177456,11.968457538994802,18.537010506208215,1.2686736079674061,1.2470248411322935,1.2243314231136582,185.0,1
"University of New South Wales",56.1,52.0,51.0,2.7,2.6,2.8,9876.0,9249.0,9010.0,42338.0,85734.0,119495.0,1.84,1.94,1.85,20.8,20.7,20.7,40.4,41.2,41.7,4.3,9.3,13.3,7683.0,7391.0,7110.0,5.510607835480932,11.599783520497903,16.80661040787623,1.2854353768059352,1.25138682181031,1.2672292545710266,161.0,1
"London School of Economics and Political Science",48.8,41.4,42.3,3.2,2.8,2.7,1757.0,1777.0,1531.0,5213.0,11590.0,12759.0,2.05,2.54,2.08,12.1,11.3,14.0,41.2,38.3,39.8,3.0,6.5,8.3,1161.0,1165.0,1057.0,4.490094745908699,9.948497854077253,12.070955534531693,1.5133505598621877,1.5253218884120172,1.4484389782403027,65.0,1
"University of California at San Diego",43.4,42.6,42.0,7.0,6.9,6.8,9974.0,9664.0,9378.0,54536.0,108469.0,173597.0,2.14,2.19,2.27,25.2,27.1,27.9,46.9,47.7,49.1,5.5,11.2,18.5,9661.0,9244.0,9142.0,5.644964289411034,11.733989614885331,18.98895208925837,1.0323983024531622,1.0454348766767634,1.0258149201487639,212.0,1
"Chinese University of Hong Kong",71.1,69.3,68.6,3.5,2.9,3.0,5216.0,4818.0,4489.0,24207.0,55634.0,67877.0,1.94,2.27,2.13,21.0,23.3,21.7,44.1,46.0,42.8,4.6,11.5,15.1,4749.0,4333.0,4174.0,5.0972836386607705,12.839603046388184,16.261859127934834,1.09833649189303,1.1119316870528502,1.0754671777671299,137.0,1
"University of Queensland",56.0,54.1,49.6,3.3,3.1,3.1,9950.0,9334.0,9139.0,44042.0,86659.0,127294.0,1.85,1.89,1.98,21.1,21.9,21.8,42.3,44.0,42.6,4.4,9.3,13.9,8379.0,8034.0,7744.0,5.2562358276643995,10.786532237988549,16.43775826446281,1.1874925408759995,1.161812297734628,1.1801394628099173,172.0,1
"Carnegie Mellon University",45.7,41.2,41.0,10.1,9.3,9.9,3972.0,3884.0,3848.0,17720.0,36097.0,54341.0,2.21,2.24,2.29,19.5,22.5,22.9,43.4,45.9,45.5,4.5,9.3,14.1,3408.0,3252.0,3230.0,5.199530516431925,11.099938499384994,16.823839009287926,1.1654929577464788,1.1943419434194342,1.1913312693498452,134.0,1
"University of Bristol",54.6,51.4,50.1,7.3,8.4,8.9,5894.0,5647.0,5447.0,28804.0,58908.0,85017.0,2.08,2.13,2.18,20.9,23.0,23.2,45.1,48.2,46.6,4.9,10.4,15.6,4916.0,4723.0,4556.0,5.859235150528885,12.47258098666102,18.66044776119403,1.1989422294548413,1.1956383654456912,1.1955662862159788,149.0,1
"Delft University of Technology",58.4,57.5,56.3,8.0,7.2,8.3,5641.0,5214.0,5015.0,19650.0,37086.0,49916.0,1.64,1.67,1.53,17.1,19.3,18.4,43.1,42.3,41.4,3.5,7.1,10.0,4874.0,4412.0,4131.0,4.0315962248666395,8.405711695376247,12.08327281529896,1.1573656134591712,1.1817769718948323,1.213991769547325,105.0,1
